PM10,PM2.5
10.4113,7.316
12.222000000000001,8.318
8.1673,5.922699999999999
9.0546,6.8515
7.525499999999999,5.7651
6.5936,6.220999999999999
8.3543,8.1619
14.998300000000002,14.7811
4.46136,4.23485
4.39697,4.1197
5.3024,4.9544
4.87312,4.47312
17.5667,11.803299999999998
15.9013,10.7346
10.9746,7.4731
10.79,7.3133
10.2533,7.1067
9.3492,5.375
7.372000000000001,5.1762
9.7083,7.8042
16.6083,11.5533
17.795,11.979199999999999
19.415,13.2108
21.7,15.5642
19.9614,14.1053
28.1356,18.9596
29.2286,20.2971
65.583,53.761
76.363,68.598
63.63800000000001,58.915
34.4437,32.1963
26.760600000000004,23.744699999999998
61.79,58.077999999999996
33.7263,31.608499999999996
25.4389,24.6153
28.7966,26.3777
33.5808,25.8372
30.0155,21.2398
29.3698,21.2882
26.1347,19.6295
25.8759,19.6645
25.4362,15.54
31.6301,17.2356
27.748300000000004,18.2183
26.014999999999997,16.1283
27.5717,16.91
30.9267,17.4633
25.241700000000005,16.47
16.9425,12.53
19.9408,13.9633
19.6567,14.238299999999999
11.56,8.4055
10.3436,8.0345
12.8336,9.5109
13.2571,10.5393
16.4214,12.6536
17.7441,14.5647
26.0182,19.0409
25.5262,18.7464
31.4234,23.515600000000003
33.0965,23.592
29.825,20.1414
24.9097,19.9708
30.3974,21.1455
25.8097,17.7602
29.007,17.615
28.116499999999995,13.5641
27.162899999999997,14.4429
25.7261,13.9145
28.7767,15.6567
26.976500000000005,17.4809
22.2067,16.4517
18.5967,14.2167
24.02,18.855
15.864999999999998,13.0267
15.3825,12.6725
16.0575,13.9633
16.9335,14.6193
15.6967,13.7725
16.6127,13.6392
22.4398,18.337
22.9697,18.5566
21.4086,16.2845
18.2613,14.5896
16.7921,13.1908
17.2484,13.1419
19.137,11.2929
18.1204,10.0333
10.0288,6.8739
9.0139,5.7
8.8401,4.90724
14.7957,8.7924
14.7393,8.8921
19.7216,9.975
17.6447,12.4213
11.0902,7.677
11.5333,9.3233
14.655,11.235
12.461699999999999,9.8233
13.49,10.7233
11.9408,10.0075
10.1333,9.0792
7.2058,6.48
8.7192,7.9392
9.839,9.1051
10.62,9.46
11.2723,8.8214
12.9975,9.6975
10.0234,8.2661
8.8687,7.4125
12.3755,8.4122
13.3317,7.2317
7.2015,5.7884
8.0957,6.0409
9.8969,7.1677
10.5346,7.2905
13.0339,8.9633
16.8455,9.0889
21.0413,12.6516
14.1228,10.3272
12.3983,9.5133
22.9285,16.8869
24.673299999999998,19.055
21.0911,16.0336
22.745,18.06
27.06,22.5517
40.3233,35.0417
63.655,60.371
48.0283,41.6683
31.2808,27.8125
24.240799999999997,19.975
23.2808,17.6725
20.1877,15.670799999999998
13.1758,9.7492
18.2333,10.8744
22.6644,12.1311
15.5692,9.7462
15.46,12.01
16.3879,13.0687
8.6893,7.6929
14.425400000000002,12.3696
26.4037,18.3914
26.9218,19.2181
30.4953,22.9271
30.6484,21.8428
33.423,24.4187
28.715,21.225
23.2585,16.5774
21.3219,15.9484
24.8983,19.2367
12.6597,10.9839
5.6933,4.75
8.7983,7.214999999999999
15.445,11.6967
21.1,15.2133
27.74,19.1617
32.361,22.6876
22.1169,15.7989
22.9658,12.0792
21.9657,13.5784
16.5881,8.4534
16.4513,9.409
12.701599999999997,6.996800000000001
16.5976,10.6071
31.116700000000005,20.2208
17.14,13.540000000000001
27.02,19.9436
27.1556,20.5481
15.503799999999998,11.0731
19.7224,13.431
16.3862,11.3224
12.9528,8.811
15.7769,10.8744
21.7077,14.9785
24.883299999999995,18.4542
25.72,19.36
22.9859,17.5718
22.0578,16.7859
24.5033,18.1098
27.831700000000005,20.96
27.4233,20.915
32.3993,25.3771
28.3366,22.4535
27.94,21.2217
19.0892,14.3617
19.9667,15.1675
31.3958,19.8783
22.8528,18.6198
28.6442,20.2625
21.9382,15.0237
24.4667,16.8019
26.6492,18.4885
44.504030777639294,32.27965790303225
15.771699999999997,10.7657
21.8907,14.95
19.5931,14.126699999999998
22.4669,17.114
19.1272,16.7719
13.4448,12.2916
33.4525,31.7967
32.4656,30.3875
29.3681,27.2785
14.1446,12.22
14.256199999999998,10.4812
20.6375,14.8175
17.6446,13.753599999999999
33.4048,22.5798
12.2941,9.0388
12.164399999999999,9.9404
17.4799,10.4375
10.5724,7.5336
12.771300000000002,9.3983
20.8853,15.085299999999998
17.7784,12.821599999999998
23.7492,16.6571
20.7951,14.787300000000002
17.6479,12.4958
18.7217,12.9283
21.2133,14.91
18.2099,13.6852
25.8667,18.5783
30.836700000000004,22.8183
27.4342,23.5133
33.2808,28.605000000000004
34.875,30.7767
37.3525,32.3242
37.1875,30.5283
27.882500000000004,21.2683
28.843099999999996,19.7833
20.4739,14.703299999999999
20.5609,16.0196
21.8125,19.4708
9.7283,8.2033
10.8027,9.7142
11.8149,9.7552
22.456,15.3648
25.197,17.23
24.0652,18.1948
33.6484,25.8172
25.8549,19.1873
14.4378,11.2513
23.2239,17.8576
27.1567,19.0687
20.4275,14.324500000000002
23.9985,17.6268
30.2311,24.470500000000005
24.6467,20.01
21.7672,18.4393
9.9417,8.85
21.3831,18.0028
15.3079,13.134899999999998
6.5606,6.0833
6.373300000000001,5.36
9.0525,8.0225
17.4129,14.2457
23.1508,15.6283
22.6218,15.1923
13.130900000000002,9.3819
18.0118,13.013199999999998
17.8712,12.8379
15.135700000000002,10.7143
16.0507,11.1207
17.636,12.268000000000002
15.6747,11.2929
12.7328,8.7272
15.089700000000002,10.3509
10.8842,8.6719
9.4742,8.0928
9.8955,7.5328
