PM10,PM2.5
62.00000000000001,30.999999999999996
71.0,34.0
69.0,35.0
62.00000000000001,34.0
55.99999999999999,34.0
51.0,27.0
48.99999999999999,27.0
41.0,25.0
35.0,23.0
35.0,19.0
27.0,19.0
25.0,17.0
30.0,16.0
31.000000000000004,13.0
34.0,13.0
34.0,17.0
33.0,19.0
36.0,19.0
41.0,35.0
41.0,35.0
35.0,19.0
37.0,19.0
39.0,19.0
38.0,19.0
38.0,17.0
30.0,11.0
30.0,13.0
37.0,16.0
42.0,19.0
40.0,20.0
37.0,20.0
39.0,13.0
41.0,18.0
41.0,19.0
42.0,17.0
42.0,16.0
40.0,17.0
45.0,19.0
45.0,20.0
44.0,24.0
44.0,26.0
45.0,20.0
45.0,19.0
45.0,20.0
45.0,24.0
42.0,29.0
46.0,28.0
43.0,28.0
42.0,30.999999999999996
48.0,33.0
48.0,30.999999999999996
51.0,30.0
53.0,32.0
55.99999999999999,32.0
61.0,35.0
64.0,35.0
64.0,37.0
60.0,35.0
58.0,30.999999999999996
62.00000000000001,35.0
58.99999999999999,35.0
52.00000000000001,26.0
47.0,23.0
32.22266448583344,32.22266448583344
42.0,19.0
42.0,17.0
45.0,16.0
43.0,18.0
37.0,19.0
37.0,21.0
46.0,26.0
52.00000000000001,26.0
48.99999999999999,26.0
47.0,27.0
47.0,26.0
45.0,24.0
41.0,20.0
37.0,20.0
36.0,19.0
33.0,12.0
29.0,10.0
27.999999999999996,10.0
29.0,6.0
30.0,7.0
29.0,6.0
30.0,5.0
27.0,10.0
23.0,12.0
26.000000000000004,9.0
26.000000000000004,9.0
23.0,11.0
26.000000000000004,10.0
30.0,12.0
37.0,17.0
38.0,14.0
36.0,12.0
42.0,15.0
46.0,17.0
42.0,17.0
41.0,19.0
46.0,21.0
44.0,16.0
37.0,11.0
35.0,9.0
33.0,11.0
30.0,10.0
29.0,7.0
27.999999999999996,9.0
34.0,11.0
35.0,12.0
23.0,11.0
13.999999999999998,9.0
19.0,10.0
27.0,10.0
27.0,9.0
31.000000000000004,11.0
36.0,11.0
37.0,13.0
38.0,15.0
33.0,13.0
27.999999999999996,10.0
27.999999999999996,11.0
23.0,11.0
23.0,14.0
31.000000000000004,18.0
39.0,22.0
48.99999999999999,28.0
48.0,29.0
44.0,25.0
48.99999999999999,23.0
57.0,30.0
57.0,30.999999999999996
55.0,30.999999999999996
52.00000000000001,30.999999999999996
52.00000000000001,30.0
60.0,32.0
72.0,32.0
75.0,41.0
86.0,50.0
104.00000000000001,61.00000000000001
114.0,67.0
114.0,61.00000000000001
107.0,58.0
111.00000000000001,60.0
114.0,68.0
117.00000000000001,73.0
124.99999999999999,76.0
122.0,78.0
116.0,77.0
106.0,74.0
90.0,60.0
95.0,61.00000000000001
102.0,64.0
86.0,47.0
85.0,44.0
92.0,52.0
92.0,53.0
88.0,47.0
97.00000000000001,56.0
117.99999999999999,75.0
121.0,77.0
113.0,68.0
90.0,57.0
62.00000000000001,36.0
53.0,26.0
51.0,26.0
55.99999999999999,27.0
53.0,27.0
48.0,26.0
51.0,25.0
54.0,27.0
53.0,29.0
46.0,25.0
45.0,29.0
46.0,30.999999999999996
46.0,25.0
46.0,20.0
45.0,15.0
45.0,14.0
40.0,12.0
35.0,12.0
36.0,13.0
37.0,13.0
35.0,10.0
38.0,7.0
38.0,11.0
34.0,17.0
33.0,16.0
32.0,11.0
30.0,8.0
32.0,8.0
34.0,7.0
39.0,11.0
40.0,15.0
40.0,13.0
30.995440189074614,30.995440189074607
34.0,31.69917313367584
33.0,1.0
31.000000000000004,7.0
29.0,21.0
29.0,16.0
26.000000000000004,8.0
27.0,11.0
24.0,11.0
24.0,11.0
26.000000000000004,11.0
24.0,11.0
22.0,32.22266448583344
19.0,32.669775559780426
19.0,9.0
17.0,3.0
15.0,3.0
15.0,6.0
12.0,3.0
11.0,1.0
11.0,3.0
16.0,4.0
17.0,6.0
13.000000000000002,6.0
13.000000000000002,8.0
16.0,7.0
16.0,10.0
18.0,31.932959428480043
26.000000000000004,23.0
32.0,21.0
33.0,19.0
32.0,19.0
35.0,19.0
43.0,22.0
45.0,30.0
47.0,35.0
52.00000000000001,35.0
52.00000000000001,36.0
50.0,36.0
50.0,35.0
51.0,36.0
55.99999999999999,37.0
55.0,37.0
53.0,40.0
55.99999999999999,40.0
55.0,39.0
55.0,39.0
58.0,43.0
60.0,44.0
60.0,44.0
60.0,44.0
60.0,41.0
64.0,40.0
66.0,43.0
70.0,43.0
74.0,48.0
74.0,46.0
75.0,46.0
76.0,49.0
76.0,50.0
76.0,47.0
75.0,48.0
76.0,50.0
77.0,49.0
74.0,47.0
75.0,49.0
72.0,46.0
66.0,42.0
67.0,43.0
72.0,45.0
76.0,48.0
76.0,45.0
72.0,40.0
61.0,38.0
61.0,38.0
64.0,37.0
62.00000000000001,34.0
61.0,32.0
54.0,28.0
43.0,21.0
41.0,19.0
37.0,16.0
43.0,19.0
52.00000000000001,27.0
55.99999999999999,30.0
55.99999999999999,30.999999999999996
57.0,30.999999999999996
60.0,30.999999999999996
58.99999999999999,33.0
60.0,30.999999999999996
61.0,30.0
63.0,33.0
79.0,32.0
77.0,33.0
77.0,36.0
67.0,37.0
66.0,35.0
62.00000000000001,34.0
62.00000000000001,35.0
62.00000000000001,35.0
62.00000000000001,37.0
58.99999999999999,39.0
61.0,36.0
58.0,30.999999999999996
53.0,28.0
54.0,28.0
53.0,28.0
53.0,28.0
51.0,27.0
50.0,27.0
50.0,25.0
43.0,23.0
43.0,19.0
42.0,23.0
48.0,27.0
45.0,28.0
41.0,27.0
39.0,23.0
42.0,23.0
46.0,24.0
44.0,23.0
42.0,22.0
39.0,21.0
40.0,19.0
39.0,20.0
39.0,19.0
42.0,20.0
45.0,21.0
50.0,21.0
53.0,32.0
53.0,27.0
48.0,23.0
46.0,26.0
44.0,26.0
41.0,26.0
40.0,26.0
42.0,25.0
41.0,25.0
44.0,25.0
50.0,35.0
47.0,30.0
45.0,30.0
48.0,28.0
48.99999999999999,27.0
30.995440189074614,30.995440189074607
48.0,32.0
43.0,27.0
38.0,21.0
42.0,22.0
44.0,26.0
45.0,27.0
48.99999999999999,25.0
48.99999999999999,27.0
51.0,25.0
48.0,25.0
43.0,28.0
45.0,25.0
48.99999999999999,27.0
43.0,29.0
43.0,29.0
46.0,28.0
47.0,28.0
52.00000000000001,32.0
48.99999999999999,27.0
44.0,25.0
47.0,27.0
47.0,28.0
45.0,30.999999999999996
43.0,29.0
42.0,25.0
37.0,25.0
37.0,30.999999999999996
38.0,30.999999999999996
34.0,23.0
29.0,17.0
30.0,12.0
35.0,10.0
32.0,13.0
31.000000000000004,15.0
37.0,17.0
34.0,17.0
33.0,16.0
34.0,17.0
27.999999999999996,17.0
29.0,18.0
45.0,21.0
68.0,29.0
64.0,27.0
48.99999999999999,19.0
38.0,18.0
34.0,19.0
36.0,17.0
43.0,21.0
50.0,29.0
42.0,27.0
40.0,24.0
36.0,20.0
34.0,20.0
41.0,23.0
45.0,22.0
44.0,23.0
48.0,25.0
57.0,29.0
58.99999999999999,33.0
57.0,50.0
58.99999999999999,51.0
71.0,37.0
72.0,36.0
63.0,35.0
61.0,32.0
65.0,33.0
60.0,35.0
58.0,34.0
68.0,39.0
74.0,40.0
81.0,40.0
79.0,42.0
71.0,40.0
68.0,38.0
71.0,39.0
77.0,40.0
83.0,46.0
87.0,49.0
88.0,46.0
90.0,49.0
76.0,43.0
101.0,58.0
138.0,73.0
121.0,60.0
96.0,45.0
76.0,34.0
78.0,40.0
92.0,52.0
95.0,53.0
97.00000000000001,54.0
100.0,52.0
104.99999999999999,48.0
97.99999999999999,44.0
86.0,39.0
72.0,33.0
66.0,26.0
74.0,27.0
75.0,33.0
71.0,30.0
70.0,24.0
65.0,20.0
57.0,18.0
50.0,16.0
44.0,18.0
46.0,26.0
43.0,23.0
35.0,20.0
38.0,20.0
42.0,19.0
41.0,19.0
40.0,19.0
50.0,24.0
58.0,30.0
62.00000000000001,35.0
61.0,33.0
60.0,28.0
68.0,34.0
73.0,38.0
73.0,40.0
68.0,35.0
58.99999999999999,28.0
58.99999999999999,27.0
53.0,24.0
53.0,27.0
61.0,28.0
63.0,27.0
61.0,30.0
63.0,27.0
66.0,27.0
61.0,30.999999999999996
58.99999999999999,29.0
60.0,27.0
58.99999999999999,28.0
62.00000000000001,27.0
63.0,27.0
66.0,29.0
71.0,37.0
80.0,44.0
77.0,38.0
31.987456051834748,32.0
67.0,29.0
63.0,29.0
52.00000000000001,27.0
43.0,26.0
43.0,27.0
38.0,26.0
30.0,27.0
36.0,32.0
43.0,34.0
42.0,30.999999999999996
46.0,34.0
50.0,33.0
63.0,35.0
89.0,41.0
97.00000000000001,35.0
87.0,25.0
86.0,13.0
82.0,10.0
68.0,13.0
64.0,14.0
62.00000000000001,15.0
55.0,16.0
53.0,15.0
55.0,14.0
52.00000000000001,12.0
52.00000000000001,14.0
53.0,18.0
55.0,19.0
51.0,15.0
31.828648560741577,31.828648560741573
52.00000000000001,21.0
50.0,26.0
48.99999999999999,25.0
50.0,17.0
53.0,17.0
51.0,11.0
47.0,13.0
48.0,18.0
48.0,21.0
43.0,24.0
37.0,24.0
35.0,24.0
30.0,25.0
31.000000000000004,20.0
33.0,16.0
29.0,15.0
27.0,15.0
25.0,14.0
22.0,13.0
20.0,12.0
22.0,13.0
24.0,12.0
29.0,15.0
30.0,17.0
27.0,19.0
27.999999999999996,19.0
31.000000000000004,14.0
30.0,16.0
21.0,16.0
18.0,14.0
22.0,17.0
32.0,17.0
40.0,19.0
32.0,13.0
23.0,5.0
21.0,5.0
21.0,6.0
20.0,6.0
21.0,3.0
22.0,7.0
24.0,8.0
19.0,7.0
21.0,8.0
27.999999999999996,11.0
26.000000000000004,14.0
26.000000000000004,11.0
25.0,11.0
21.0,14.0
16.0,13.0
18.0,13.0
23.0,18.0
27.0,17.0
23.0,17.0
21.0,19.0
27.999999999999996,19.0
32.0,17.0
36.0,20.0
41.0,24.0
45.0,24.0
50.0,30.0
53.0,37.0
51.0,35.0
52.00000000000001,34.0
58.0,38.0
63.0,44.0
66.0,45.0
69.0,49.0
72.0,48.0
67.0,45.0
55.99999999999999,45.0
47.0,37.0
40.0,27.0
38.0,20.0
39.0,23.0
39.0,27.0
43.0,29.0
41.0,28.0
32.0,24.0
34.0,24.0
33.0,24.0
29.0,20.0
29.0,23.0
39.0,27.0
48.0,33.0
48.0,39.0
48.0,35.0
48.99999999999999,34.0
50.0,35.0
48.0,32.0
48.0,33.0
47.0,34.0
42.0,30.0
35.0,25.0
33.0,22.0
31.000000000000004,21.0
37.0,24.0
44.0,28.0
39.0,26.0
32.0,21.0
34.0,23.0
46.0,27.0
43.0,25.0
40.0,25.0
40.0,25.0
34.0,21.0
34.0,19.0
31.000000000000004,13.0
27.999999999999996,11.0
20.0,9.0
22.0,6.0
25.0,8.0
21.0,15.0
33.0,22.0
33.0,25.0
40.0,26.0
34.0,27.0
36.0,21.0
35.0,14.0
31.000000000000004,13.0
31.000000000000004,16.0
35.0,24.0
40.0,27.0
48.99999999999999,36.0
63.0,46.0
65.0,36.0
53.0,27.0
52.00000000000001,25.0
55.99999999999999,25.0
58.99999999999999,28.0
76.0,41.0
88.0,49.0
87.0,52.0
88.0,53.0
89.0,55.0
87.0,54.0
89.0,55.0
92.0,60.0
95.0,61.00000000000001
97.99999999999999,59.0
101.0,59.0
97.00000000000001,59.0
97.00000000000001,55.0
96.0,56.0
95.0,64.0
101.0,66.0
103.0,61.00000000000001
104.99999999999999,59.0
108.0,57.0
104.00000000000001,57.0
107.0,61.00000000000001
116.0,61.99999999999999
117.00000000000001,63.0
114.0,63.0
110.0,61.99999999999999
111.00000000000001,67.0
117.00000000000001,71.0
123.0,73.0
123.0,75.0
123.0,79.0
122.0,76.0
122.0,74.0
121.0,75.0
120.0,68.0
114.0,60.0
99.0,51.0
83.0,41.0
70.0,35.0
54.0,30.0
41.0,27.0
40.0,23.0
45.0,21.0
53.0,30.0
66.0,33.0
61.0,27.0
43.0,21.0
37.0,13.0
33.0,11.0
