TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
42454.63,3,25,2016,15,0.53406,345.562,24.5476,0.362543,1021.17,628.62,29.6132,47.2461,19.509,24.504
42454.67,3,25,2016,16,1.16492,93.578,24.2504,0.362283,1020.33,309.009,29.5761,67.546,22.6187,30.0164
42454.71,3,25,2016,17,1.18493,117.403,23.4406,0.360373,1019.94,205.48,29.2139,77.371,25.2482,33.725
42454.75,3,25,2016,18,1.36727,154.194,22.7333,0.361632,1019.85,57.903,28.7309,84.437,29.0032,38.4157
42454.79,3,25,2016,19,1.75847,167.459,21.3203,0.3602,1020.63,1.17092,27.6901,90.712,40.0735,49.277
42454.83,3,25,2016,20,1.82925,157.165,20.2179,0.361241,1021.6,1.14661,27.5217,88.708,45.0319,53.847
42454.88,3,25,2016,21,2.76657,145.343,19.3716,0.360981,1022.63,1.10955,27.1492,99.196,50.546,59.973
42454.92,3,25,2016,22,3.01678,144.524,18.1674,0.36467,1023.04,1.10165,26.5881,73.361,49.0213,55.158
42454.96,3,25,2016,23,3.04071,142.253,17.3638,0.361502,1023.3,1.11259,25.9607,59.396,41.8092,46.9306
42455.00,3,26,2016,0,2.67353,146.048,16.8542,0.359418,1023.03,1.10894,25.4262,51.731,39.5249,43.1024
42455.04,3,26,2016,1,2.67404,141.307,16.6156,0.359028,1022.38,1.10408,25.3169,52.864,42.4713,46.047
42455.08,3,26,2016,2,2.71142,143.092,16.4416,0.361155,1021.77,1.14175,25.1452,44.0851,37.3471,39.6716
42455.13,3,26,2016,3,2.5745,142.357,16.2652,0.362413,1021.23,1.17396,24.9931,39.4409,34.2716,36.1447
42455.17,3,26,2016,4,2.34036,138.992,16.065,0.361241,1020.77,1.13203,24.7516,41.1165,35.1585,37.1812
42455.21,3,26,2016,5,1.825,139.912,15.9654,0.361502,1020.94,1.15269,24.5523,42.7732,35.6941,38.0188
42455.25,3,26,2016,6,1.83581,137.041,16.2556,0.361762,1021.16,1.14783,24.4474,68.256,39.3733,48.5646
42455.29,3,26,2016,7,2.14483,138.209,16.5428,0.361632,1021.77,19.0841,24.0996,72.374,40.0515,49.9727
42455.33,3,26,2016,8,1.85409,139.838,17.1467,0.361155,1022.36,152.839,24.194,74.818,38.576,50.534
42455.38,3,26,2016,9,1.77888,139.534,18.7092,0.365755,1023.34,280.708,24.7974,68.625,32.0068,40.2965
42455.42,3,26,2016,10,2.29149,132.746,19.7657,0.365365,1023.09,453.267,25.8715,69.861,29.6981,37.6441
42455.46,3,26,2016,11,1.96108,135.374,20.6259,0.362717,1022.88,349.318,26.9599,76.002,35.0598,42.8618
42455.50,3,26,2016,12,1.75991,124.64,20.9305,0.361849,1022.35,259.561,28.0315,75.328,40.8467,47.128
42455.54,3,26,2016,13,1.54189,145.836,21.103,0.362109,1021.54,269.731,28.9384,75.973,41.6448,48.2158
42455.58,3,26,2016,14,1.49121,138.817,21.6201,0.361892,1020.69,311.806,29.3534,78.258,42.2287,49.2594
42455.63,3,26,2016,15,1.39586,122.504,22.2592,0.36276,1019.83,268.801,29.2694,76.127,42.1922,48.2606
