TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3888368e+18,18.0,0.62,1.2,18.0,20.0,44.0,58.0,5.1,37.0,34.087792843691055,1.6,1.3,128.0,71.0
1.3888404e+18,18.0,0.63,1.0,17.0,18.0,50.0,58.0,5.8,29.0,33.61436180473702,1.1,1.0,111.0,61.0
1.388844e+18,18.0,0.66,0.7,17.0,18.0,50.0,60.0,6.7,48.0,33.7289292011756,1.7,1.1,120.0,65.0
1.3888476e+18,18.0,0.82,0.9,22.0,23.0,42.0,64.0,7.0,52.0,34.167129027138515,1.2,1.3,136.0,78.0
1.3888512e+18,17.0,0.85,0.8,22.0,23.0,43.0,66.0,7.4,59.0,35.651572264081466,1.5,1.5,161.0,93.0
1.3888548e+18,17.0,1.02,0.7,26.0,27.0,44.0,64.0,11.0,52.0,38.07681703337188,0.8,1.2,189.0,107.0
1.3888584e+18,17.0,1.01,0.6,27.0,27.0,49.0,61.0,13.0,26.0,41.45730147871389,1.4,1.1,203.0,114.0
1.388862e+18,17.0,0.9,0.7,21.0,22.0,54.0,60.0,13.0,54.0,45.27073308072833,1.4,1.2,196.0,110.0
1.3888656e+18,16.0,0.87,0.8,19.0,20.0,51.0,63.0,12.0,54.0,47.68148342977385,1.3,1.5,180.0,104.0
1.3888692e+18,15.0,0.83,0.7,17.0,18.0,47.0,67.0,10.0,58.0,48.807966573816,1.4,1.3,164.0,93.0
1.3888728e+18,15.0,0.82,0.6,16.0,17.0,47.0,66.0,11.0,55.0,48.6539784494087,1.4,1.4,159.0,88.0
1.3888764e+18,15.0,0.78,0.6,14.0,15.0,46.0,67.0,10.0,57.0,48.317309148265,1.3,1.3,159.0,88.0
1.38888e+18,14.0,0.77,0.6,13.0,14.0,44.0,67.0,9.4,46.0,48.013568648079946,1.2,1.0,154.0,90.0
1.3888836e+18,14.0,0.8,0.8,14.0,15.0,40.0,70.0,9.0,41.0,47.81208868759208,1.0,1.4,152.0,90.0
1.3888872e+18,14.0,0.8,0.8,12.0,13.0,43.0,70.0,9.2,38.0,47.883640909569415,1.8,1.4,160.0,93.0
1.3888908e+18,13.0,0.78,1.3,10.0,11.0,43.0,70.0,8.3,36.0,47.30518218197131,0.8,1.1,163.0,99.0
1.3888944e+18,14.0,0.79,1.3,12.0,13.0,40.0,69.0,13.0,35.0,47.18568405537727,0.9,1.1,158.0,99.0
1.388898e+18,14.0,0.75,1.2,12.0,13.0,40.0,70.0,13.0,29.0,46.82164972881884,0.8,1.0,153.0,94.0
1.3889016e+18,14.0,0.75,1.4,12.0,13.0,39.0,72.0,8.4,20.0,45.36485757910824,1.5,0.9,141.0,89.0
1.3889052e+18,14.0,0.9,1.6,17.0,19.0,33.0,74.0,11.0,30.0,44.24861934600599,0.6,1.0,139.0,88.0
1.3889088e+18,14.0,0.8,2.1,19.0,21.0,38.0,71.0,12.0,30.0,41.01268371624133,1.2,1.0,139.0,83.0
1.3889124e+18,16.0,0.69,2.5,16.0,18.0,48.0,63.0,9.7,27.0,37.679122901420705,1.6,1.3,137.0,78.0
1.388916e+18,17.0,0.6,2.0,11.0,13.0,62.0,53.0,9.7,29.0,35.78526745675841,1.4,1.2,136.0,72.0
1.3889196e+18,18.0,0.51,1.5,9.2,11.0,68.0,49.0,8.8,33.0,35.01416118243613,1.9,1.7,121.0,62.0
1.3889232e+18,18.0,0.44,1.6,8.8,10.0,63.0,51.0,7.4,27.0,34.087792843691055,2.2,2.1,103.0,49.0
1.3889268e+18,18.0,0.4,1.5,8.5,9.9,61.0,51.0,6.5,28.0,33.61436180473702,2.6,2.4,89.0,37.0
1.3889304e+18,18.0,0.37,1.3,8.4,9.7,59.0,51.0,6.0,24.0,33.7289292011756,2.1,2.2,77.0,32.0
1.388934e+18,18.0,0.38,1.4,9.9,11.0,55.0,52.0,5.6,28.0,34.167129027138515,1.4,1.8,60.0,30.0
1.3889376e+18,17.0,0.4,1.6,11.0,13.0,53.0,52.0,5.8,25.0,35.651572264081466,1.9,1.6,60.0,27.0
1.3889412e+18,17.0,0.44,1.4,12.0,14.0,53.0,54.0,6.2,31.0,38.07681703337188,1.5,1.4,72.0,31.0
1.3889448e+18,16.0,0.46,1.6,13.0,15.0,53.0,55.0,6.5,51.0,41.45730147871389,1.5,1.3,77.0,38.0
1.3889484e+18,16.0,0.42,1.5,11.0,13.0,48.0,61.0,7.8,48.0,45.27073308072833,0.9,1.0,76.0,37.0
1.388952e+18,16.0,0.58,1.6,20.0,21.0,36.0,64.0,11.0,54.0,47.68148342977385,1.0,0.8,73.0,37.0
1.3889556e+18,15.0,0.64,1.4,20.0,21.0,34.0,66.0,11.0,41.0,48.807966573816,0.8,0.8,79.0,42.0
1.3889592e+18,15.0,0.44,1.3,12.0,13.0,41.0,68.0,7.2,46.0,48.6539784494087,1.0,0.9,73.0,38.0
1.3889628e+18,15.0,0.4,1.3,9.5,11.0,41.0,68.0,9.4,47.0,48.317309148265,0.7,0.8,65.0,33.0
